category,pub_name,pub_link,author,launch_date,num_subs,sub_rate,top_paid
Culture,Proof,https://sethabramson.substack.com/?utm_source=discover,Seth Abramson,4 months ago,Thousands of subscribers,$5/month,True
Culture,The Audacity.,https://audacity.substack.com/?utm_source=discover,Roxane Gay,5 months ago,Thousands of subscribers,$6/month,True
Culture,It Bears Mentioning,https://johnmcwhorter.substack.com/?utm_source=discover,John McWhorter,4 months ago,Thousands of subscribers,$5/month,True
Culture,Culture Study,https://annehelen.substack.com/?utm_source=discover,Anne Helen Petersen,3 years ago,Thousands of subscribers,$5/month,True
Culture,Maybe Baby,https://haleynahman.substack.com/?utm_source=discover,Haley Nahman,a year ago,Thousands of subscribers,$5/month,True
Culture,Hung Up,https://hunterharris.substack.com/?utm_source=discover,Hunter Harris,7 months ago,Thousands of subscribers,$5/month,True
Culture,Patti Smith,https://pattismith.substack.com/?utm_source=discover,,3 months ago,Thousands of subscribers,$7/month,True
Culture,Webworm with David Farrier,https://www.webworm.co/?utm_source=discover,,a year ago,Thousands of subscribers,$6.99/month,True
Culture,Rich Text,https://claireandemma.substack.com/?utm_source=discover,,5 months ago,Thousands of subscribers,$8/month,True
Culture,Crème de la Crème,https://aminatou.substack.com/?utm_source=discover,Aminatou Sow,8 months ago,Thousands of subscribers,$7/month,True
Culture,Trashberg,https://www.trashberg.com/?utm_source=discover,Ashley Feinberg,2 months ago,Thousands of subscribers,$5/month,True
Culture,Blackbird Spyplane,https://www.blackbirdspyplane.com/?utm_source=discover,,a year ago,Thousands of subscribers,$5/month,True
Culture,Freddie deBoer,https://freddiedeboer.substack.com/?utm_source=discover,Fredrik deBoer,3 months ago,Thousands of subscribers,$5/month,True
Culture,essaying,https://tressie.substack.com/?utm_source=discover,,3 months ago,Thousands of subscribers,$5/month,True
Culture,SHERO,https://shero.substack.com/?utm_source=discover,Amee Vanderpool,2 years ago,Thousands of subscribers,$6/month,True
Culture,The Shatner Chatner,https://dmlavery.substack.com/?utm_source=discover,Daniel Lavery,3 years ago,Thousands of subscribers,$5/month,True
Culture,And It Don't Stop,https://robertchristgau.substack.com/?utm_source=discover,Robert Christgau,2 years ago,Thousands of subscribers,$5/month,True
Culture,books/snacks/softcore,https://bitchesgottaeat.substack.com/?utm_source=discover,samantha ir,2 years ago,Thousands of subscribers,$5/month,True
Culture,Today in Tabs,https://www.todayintabs.com/?utm_source=discover,Rusty Foster,5 months ago,Thousands of subscribers,$8/month,True
Culture,Galaxy Brain,https://warzel.substack.com/?utm_source=discover,Charlie Warzel,a month ago,Thousands of subscribers,$6/month,True
Culture,Power Plays,https://www.powerplays.news/?utm_source=discover,Lindsay Gibbs,2 years ago,Hundreds of subscribers,$8/month,True
Culture,Letters from Suzanne,https://suzannemoore.substack.com/?utm_source=discover,Suzanne Moore,6 months ago,Hundreds of subscribers,£6/month,True
Culture,Rak höger med Ivar Arpi,https://ivararpi.substack.com/?utm_source=discover,,a month ago,Hundreds of subscribers,€5/month,True
Culture,Femstreet,https://femstreet.substack.com/?utm_source=discover,,2 years ago,Hundreds of subscribers,$10/month,True
Culture,Formerly Dangerous,https://drewmcweeny.substack.com/?utm_source=discover,Drew McWeeny,a year ago,Hundreds of subscribers,$7/month,True
Politics,Letters from an American,https://heathercoxrichardson.substack.com/?utm_source=discover,Heather Cox Richardson,2 years ago,Tens of thousands of subscribers,$5/month,True
